label;ts;cpu;temp
web;2020-10-08 21:51:27.879055;90.8;57.939
web;2020-10-08 21:51:28.881115;92.2;58.426
web;2020-10-08 21:51:29.883477;84.8;56.965
web;2020-10-08 21:51:30.885826;71.3;58.426
web;2020-10-08 21:51:31.887732;82.6;56.478
web;2020-10-08 21:51:32.889799;95.0;56.965
web;2020-10-08 21:51:33.892056;87.6;56.965
web;2020-10-08 21:51:34.893906;85.0;56.478
web;2020-10-08 21:51:35.897601;96.5;56.478
web;2020-10-08 21:51:36.899694;91.0;57.452
web;2020-10-08 21:51:37.901804;78.2;57.452
web;2020-10-08 21:51:38.903789;79.5;57.452
web;2020-10-08 21:51:39.905668;39.0;55.991
web;2020-10-08 21:51:40.907608;80.1;56.965
web;2020-10-08 21:51:41.909023;90.9;57.452
web;2020-10-08 21:51:42.913460;68.6;56.965
web;2020-10-08 21:51:43.915619;51.8;56.478
web;2020-10-08 21:51:44.917832;24.5;55.504
web;2020-10-08 21:51:45.920046;67.8;56.478
